Word,Frequency,letter0,letter1,letter2,letter3,letter4
chute,834005,c,h,u,t,e
setup,23534848,s,e,t,u,p
fairy,6435300,f,a,i,r,y
tarot,3561389,t,a,r,o,t
bambi,787833,b,a,m,b,i
guana,48251,g,u,a,n,a
estop,14849,e,s,t,o,p
taiga,209181,t,a,i,g,a
gamma,35426622,g,a,m,m,a
donor,7096675,d,o,n,o,r
wreak,316442,w,r,e,a,k
doves,941403,d,o,v,e,s
shady,2059463,s,h,a,d,y
biffy,58886,b,i,f,f,y
lubed,75886,l,u,b,e,d
latch,1777882,l,a,t,c,h
flows,10797166,f,l,o,w,s
brass,14298573,b,r,a,s,s
heron,1576813,h,e,r,o,n
ducat,39914,d,u,c,a,t
yikes,672164,y,i,k,e,s
slung,253265,s,l,u,n,g
sorts,6005834,s,o,r,t,s
colza,14059,c,o,l,z,a
secco,33756,s,e,c,c,o
hears,1737280,h,e,a,r,s
roker,178208,r,o,k,e,r
cries,1878107,c,r,i,e,s
icons,13649671,i,c,o,n,s
recal,26539,r,e,c,a,l
bring,57608074,b,r,i,n,g
cooee,25881,c,o,o,e,e
gutta,78367,g,u,t,t,a
zooms,377094,z,o,o,m,s
attic,3347389,a,t,t,i,c
dovie,23016,d,o,v,i,e
clach,16123,c,l,a,c,h
psalm,2220027,p,s,a,l,m
puppy,6662287,p,u,p,p,y
hapax,13596,h,a,p,a,x
bizzy,235736,b,i,z,z,y
colds,1175947,c,o,l,d,s
apert,36425,a,p,e,r,t
ablow,15776,a,b,l,o,w
festa,580029,f,e,s,t,a
hitch,2730000,h,i,t,c,h
goats,2184919,g,o,a,t,s
puffa,17494,p,u,f,f,a
lasso,573529,l,a,s,s,o
datos,567059,d,a,t,o,s
lulls,58479,l,u,l,l,s
lears,14370,l,e,a,r,s
sonny,2004845,s,o,n,n,y
petit,2120813,p,e,t,i,t
bodle,14619,b,o,d,l,e
gigue,39029,g,i,g,u,e
stamp,9760468,s,t,a,m,p
nooit,59878,n,o,o,i,t
madam,2023575,m,a,d,a,m
yarns,1211638,y,a,r,n,s
recco,23464,r,e,c,c,o
scram,139774,s,c,r,a,m
emerg,349219,e,m,e,r,g
scary,5571680,s,c,a,r,y
tyros,52703,t,y,r,o,s
sperm,5944531,s,p,e,r,m
brung,29676,b,r,u,n,g
clays,522200,c,l,a,y,s
jager,261574,j,a,g,e,r
apted,47832,a,p,t,e,d
hooey,51491,h,o,o,e,y
karns,79709,k,a,r,n,s
mures,73135,m,u,r,e,s
moten,45477,m,o,t,e,n
newbs,68637,n,e,w,b,s
duett,16335,d,u,e,t,t
train,31816971,t,r,a,i,n
karat,995377,k,a,r,a,t
rhomb,88692,r,h,o,m,b
nubby,44046,n,u,b,b,y
chook,55330,c,h,o,o,k
quire,149380,q,u,i,r,e
cabin,8052267,c,a,b,i,n
trite,287494,t,r,i,t,e
syncs,125756,s,y,n,c,s
corns,182185,c,o,r,n,s
hallo,537426,h,a,l,l,o
kluge,130258,k,l,u,g,e
gests,62994,g,e,s,t,s
posey,499031,p,o,s,e,y
thiol,184641,t,h,i,o,l
fisty,14154,f,i,s,t,y
vinyl,17009819,v,i,n,y,l
udder,175766,u,d,d,e,r
berko,26479,b,e,r,k,o
edges,7826115,e,d,g,e,s
aurum,141480,a,u,r,u,m
devon,6896016,d,e,v,o,n
ching,1605671,c,h,i,n,g
whiff,246582,w,h,i,f,f
tabus,66004,t,a,b,u,s
mudra,70259,m,u,d,r,a
louts,35918,l,o,u,t,s
binge,850412,b,i,n,g,e
herds,889724,h,e,r,d,s
jinni,19391,j,i,n,n,i
indow,21149,i,n,d,o,w
rivet,616847,r,i,v,e,t
sweep,3623863,s,w,e,e,p
medic,1122716,m,e,d,i,c
timer,7488669,t,i,m,e,r
foyle,197311,f,o,y,l,e
index,242826246,i,n,d,e,x
stupa,117550,s,t,u,p,a
imbue,105068,i,m,b,u,e
scone,213031,s,c,o,n,e
pooja,289973,p,o,o,j,a
