Word,Frequency,letter0,letter1,letter2,letter3,letter4
cigar,3993843,c,i,g,a,r
rebut,235254,r,e,b,u,t
sissy,1410911,s,i,s,s,y
humph,60767,h,u,m,p,h
awake,3230337,a,w,a,k,e
blush,1722003,b,l,u,s,h
focal,5844761,f,o,c,a,l
evade,605626,e,v,a,d,e
naval,8091649,n,a,v,a,l
serve,36697856,s,e,r,v,e
heath,6139151,h,e,a,t,h
dwarf,3072068,d,w,a,r,f
model,161205740,m,o,d,e,l
karma,6862407,k,a,r,m,a
stink,872742,s,t,i,n,k
grade,54275130,g,r,a,d,e
quiet,16746894,q,u,i,e,t
bench,8992211,b,e,n,c,h
abate,470646,a,b,a,t,e
feign,116753,f,e,i,g,n
major,122592252,m,a,j,o,r
death,83216831,d,e,a,t,h
fresh,38781893,f,r,e,s,h
crust,2267452,c,r,u,s,t
stool,3031945,s,t,o,o,l
colon,5494297,c,o,l,o,n
abase,29383,a,b,a,s,e
marry,4388137,m,a,r,r,y
react,4126376,r,e,a,c,t
batty,416010,b,a,t,t,y
pride,14428078,p,r,i,d,e
floss,1013783,f,l,o,s,s
helix,2921411,h,e,l,i,x
croak,169181,c,r,o,a,k
staff,151553180,s,t,a,f,f
paper,134939426,p,a,p,e,r
unfed,20266,u,n,f,e,d
whelp,70407,w,h,e,l,p
trawl,553588,t,r,a,w,l
outdo,146433,o,u,t,d,o
adobe,27538755,a,d,o,b,e
crazy,23032837,c,r,a,z,y
sower,137381,s,o,w,e,r
repay,1746487,r,e,p,a,y
digit,6991045,d,i,g,i,t
crate,2336818,c,r,a,t,e
cluck,134048,c,l,u,c,k
spike,4833410,s,p,i,k,e
mimic,1187154,m,i,m,i,c
pound,13620117,p,o,u,n,d
maxim,3820484,m,a,x,i,m
linen,4960413,l,i,n,e,n
unmet,590631,u,n,m,e,t
flesh,6768724,f,l,e,s,h
booby,379438,b,o,o,b,y
forth,20149609,f,o,r,t,h
first,578161543,f,i,r,s,t
stand,46292709,s,t,a,n,d
belly,7346354,b,e,l,l,y
ivory,7146685,i,v,o,r,y
seedy,284954,s,e,e,d,y
print,178250872,p,r,i,n,t
yearn,300957,y,e,a,r,n
drain,6411642,d,r,a,i,n
bribe,646492,b,r,i,b,e
stout,1939514,s,t,o,u,t
panel,53784382,p,a,n,e,l
crass,408565,c,r,a,s,s
flume,173970,f,l,u,m,e
offal,194416,o,f,f,a,l
agree,47500911,a,g,r,e,e
error,89396475,e,r,r,o,r
swirl,1251090,s,w,i,r,l
argue,8353605,a,r,g,u,e
bleed,1989071,b,l,e,e,d
delta,28051872,d,e,l,t,a
flick,2226500,f,l,i,c,k
totem,955271,t,o,t,e,m
front,100886343,f,r,o,n,t
shrub,1458217,s,h,r,u,b
parry,1371591,p,a,r,r,y
biome,174268,b,i,o,m,e
lapel,1119712,l,a,p,e,l
start,161913408,s,t,a,r,t
greet,1784219,g,r,e,e,t
goner,80810,g,o,n,e,r
golem,444797,g,o,l,e,m
lusty,702157,l,u,s,t,y
loopy,263368,l,o,o,p,y
